GEO_ID,NAME,Estimate!!Total!!Population 25 years and over!!Population 65 years and over!!Bachelor's degree or higher
0500000US37001,"Alamance County, North Carolina",5839
0500000US37003,"Alexander County, North Carolina",998
0500000US37005,"Alleghany County, North Carolina",601
0500000US37007,"Anson County, North Carolina",479
0500000US37009,"Ashe County, North Carolina",1312
0500000US37011,"Avery County, North Carolina",1015
0500000US37013,"Beaufort County, North Carolina",2611
0500000US37015,"Bertie County, North Carolina",507
0500000US37017,"Bladen County, North Carolina",851
0500000US37019,"Brunswick County, North Carolina",12734
0500000US37021,"Buncombe County, North Carolina",18350
0500000US37023,"Burke County, North Carolina",3068
0500000US37025,"Cabarrus County, North Carolina",4992
0500000US37027,"Caldwell County, North Carolina",2323
0500000US37029,"Camden County, North Carolina",163
0500000US37031,"Carteret County, North Carolina",4880
0500000US37033,"Caswell County, North Carolina",633
0500000US37035,"Catawba County, North Carolina",4930
0500000US37037,"Chatham County, North Carolina",6855
0500000US37039,"Cherokee County, North Carolina",1529
0500000US37041,"Chowan County, North Carolina",658
0500000US37043,"Clay County, North Carolina",900
0500000US37045,"Cleveland County, North Carolina",2740
0500000US37047,"Columbus County, North Carolina",1490
0500000US37049,"Craven County, North Carolina",4812
0500000US37051,"Cumberland County, North Carolina",7268
0500000US37053,"Currituck County, North Carolina",1041
0500000US37055,"Dare County, North Carolina",2826
0500000US37057,"Davidson County, North Carolina",4117
0500000US37059,"Davie County, North Carolina",1995
0500000US37061,"Duplin County, North Carolina",1159
0500000US37063,"Durham County, North Carolina",15398
0500000US37065,"Edgecombe County, North Carolina",1242
0500000US37067,"Forsyth County, North Carolina",16203
0500000US37069,"Franklin County, North Carolina",1492
0500000US37071,"Gaston County, North Carolina",5030
0500000US37073,"Gates County, North Carolina",258
0500000US37075,"Graham County, North Carolina",312
0500000US37077,"Granville County, North Carolina",1721
0500000US37079,"Greene County, North Carolina",264
0500000US37081,"Guilford County, North Carolina",22972
0500000US37083,"Halifax County, North Carolina",1359
0500000US37085,"Harnett County, North Carolina",2126
0500000US37087,"Haywood County, North Carolina",3951
0500000US37089,"Henderson County, North Carolina",10189
0500000US37091,"Hertford County, North Carolina",660
0500000US37093,"Hoke County, North Carolina",679
0500000US37095,"Hyde County, North Carolina",105
0500000US37097,"Iredell County, North Carolina",5495
0500000US37099,"Jackson County, North Carolina",2575
0500000US37101,"Johnston County, North Carolina",3929
0500000US37103,"Jones County, North Carolina",219
0500000US37105,"Lee County, North Carolina",1962
0500000US37107,"Lenoir County, North Carolina",1553
0500000US37109,"Lincoln County, North Carolina",2204
0500000US37111,"McDowell County, North Carolina",1663
0500000US37113,"Macon County, North Carolina",2371
0500000US37115,"Madison County, North Carolina",1181
0500000US37117,"Martin County, North Carolina",685
0500000US37119,"Mecklenburg County, North Carolina",38431
0500000US37121,"Mitchell County, North Carolina",471
0500000US37123,"Montgomery County, North Carolina",887
0500000US37125,"Moore County, North Carolina",8756
0500000US37127,"Nash County, North Carolina",2687
0500000US37129,"New Hanover County, North Carolina",13328
0500000US37131,"Northampton County, North Carolina",618
0500000US37133,"Onslow County, North Carolina",2794
0500000US37135,"Orange County, North Carolina",9462
0500000US37137,"Pamlico County, North Carolina",961
0500000US37139,"Pasquotank County, North Carolina",1209
0500000US37141,"Pender County, North Carolina",2248
0500000US37143,"Perquimans County, North Carolina",865
0500000US37145,"Person County, North Carolina",995
0500000US37147,"Pitt County, North Carolina",5519
0500000US37149,"Polk County, North Carolina",2235
0500000US37151,"Randolph County, North Carolina",3355
0500000US37153,"Richmond County, North Carolina",955
0500000US37155,"Robeson County, North Carolina",2395
0500000US37157,"Rockingham County, North Carolina",2245
0500000US37159,"Rowan County, North Carolina",3979
0500000US37161,"Rutherford County, North Carolina",2200
0500000US37163,"Sampson County, North Carolina",1291
0500000US37165,"Scotland County, North Carolina",871
0500000US37167,"Stanly County, North Carolina",1508
0500000US37169,"Stokes County, North Carolina",770
0500000US37171,"Surry County, North Carolina",2042
0500000US37173,"Swain County, North Carolina",397
0500000US37175,"Transylvania County, North Carolina",3701
0500000US37177,"Tyrrell County, North Carolina",82
0500000US37179,"Union County, North Carolina",6202
0500000US37181,"Vance County, North Carolina",1050
0500000US37183,"Wake County, North Carolina",44500
0500000US37185,"Warren County, North Carolina",827
0500000US37187,"Washington County, North Carolina",379
0500000US37189,"Watauga County, North Carolina",3257
0500000US37191,"Wayne County, North Carolina",3009
0500000US37193,"Wilkes County, North Carolina",2042
0500000US37195,"Wilson County, North Carolina",2538
0500000US37197,"Yadkin County, North Carolina",583
0500000US37199,"Yancey County, North Carolina",830
