County,"MILK - PRODUCTION, MEASURED IN LB"
Adams,18260000
Green Lake,152520000
Juneau,212930000
Marquette,119840000
Portage,235300000
Waupaca,465600000
Waushara,99960000
Wood,353220000
Brown,967600000
Calumet,678300000
Door,141180000
Fond du Lac,1084800000
Kewaunee,879650000
Manitowoc,1129950000
Outagamie,851250000
Sheboygan,599400000
Winnebago,361260000
Clark,1216000000
Lincoln,80550000
Marathon,1219200000
Price,62640000
Taylor,267200000
Marinette,239560000
Oconto,409340000
Shawano,748250000
Barron,404140000
Burnett,56440000
Chippewa,553600000
Polk,286740000
Rusk,197220000
Sawyer,39330000
Washburn,56840000
Columbia,337900000
Dane,1173000000
Dodge,824100000
Green,598300000
Jefferson,300490000
Rock,240560000
Kenosha,70620000
Ozaukee,192640000
Racine,84630000
Walworth,289800000
Washington,319680000
Crawford,146510000
Grant,892400000
Iowa,436100000
Lafayette,536400000
Richland,266710000
Sauk,509520000
Vernon,430100000
Buffalo,345920000
Dunn,417010000
Eau Claire,181900000
Jackson,241560000
La Crosse,154380000
Monroe,459330000
Pepin,169680000
Pierce,291770000
St. Croix,413400000
Trempealeau,422220000
Menominee,0
Waukesha,0
Douglas,0
Iron,0
Florence,0
Forest,0
Langlade,0
Bayfield,0
Vilas,0
Oneida,0
Ashland,0
Milwaukee,0
